FID,NAME,KODE_KEC,KODE_KD,KODE_KK,KODE_PROV,TIPE_KD,KECAMATAN,KEL_DESA,KAB_KOTA,PROVINSI,JENIS_KD
1671,Cibaduyut Kidul,32.73.17,32.73.17.1005,32.73,32,2,Bojongloa Kidul,Cibaduyut Kidul,Kota Bandung,Jawa Barat,Kelurahan
1672,Cibaduyut Wetan,32.73.17,32.73.17.1006,32.73,32,2,Bojongloa Kidul,Cibaduyut Wetan,Kota Bandung,Jawa Barat,Kelurahan
1937,Derwati,32.73.23,32.73.23.1002,32.73,32,2,Rancasari,Derwati,Kota Bandung,Jawa Barat,Kelurahan
2142,Kujangsari,32.73.21,32.73.21.1004,32.73,32,2,Bandung Kidul,Kujangsari,Kota Bandung,Jawa Barat,Kelurahan
2243,Mekar Wangi,32.73.17,32.73.17.1004,32.73,32,2,Bojongloa Kidul,Mekar Wangi,Kota Bandung,Jawa Barat,Kelurahan
2269,Mekarmulya,32.73.23,32.73.23.1004,32.73,32,2,Rancasari,Mekarmulya,Kota Bandung,Jawa Barat,Kelurahan
2303,Mengger,32.73.21,32.73.21.1003,32.73,32,2,Bandung Kidul,Mengger,Kota Bandung,Jawa Barat,Kelurahan
2479,Rancanumpang,32.73.27,32.73.27.1004,32.73,32,2,Gedebage,Rancanumpang,Kota Bandung,Jawa Barat,Kelurahan
2847,Wates,32.73.21,32.73.21.1002,32.73,32,2,Bandung Kidul,Wates,Kota Bandung,Jawa Barat,Kelurahan
26339,Ancol,32.73.11,32.73.11.1002,32.73,32,2,Regol,Ancol,Kota Bandung,Jawa Barat,Kelurahan
26340,Antapani Kidul,32.73.20,32.73.20.1005,32.73,32,2,Antapani,Antapani Kidul,Kota Bandung,Jawa Barat,Kelurahan
26341,Babakan,32.73.03,32.73.03.1002,32.73,32,2,Babakan Ciparay,Babakan,Kota Bandung,Jawa Barat,Kelurahan
26344,Babakan Asih,32.73.04,32.73.04.1004,32.73,32,2,Bojongloa Kaler,Babakan Asih,Kota Bandung,Jawa Barat,Kelurahan
26345,Babakan Penghulu,32.73.29,32.73.29.1004,32.73,32,2,Cinambo,Babakan Penghulu,Kota Bandung,Jawa Barat,Kelurahan
26346,Babakan Sari,32.73.16,32.73.16.1005,32.73,32,2,Kiaracondong,Babakan Sari,Kota Bandung,Jawa Barat,Kelurahan
26347,Babakan Tarogong,32.73.04,32.73.04.1002,32.73,32,2,Bojongloa Kaler,Babakan Tarogong,Kota Bandung,Jawa Barat,Kelurahan
26348,Balong Gede,32.73.11,32.73.11.1004,32.73,32,2,Regol,Balong Gede,Kota Bandung,Jawa Barat,Kelurahan
26351,Binong,32.73.12,32.73.12.1008,32.73,32,2,Batununggal,Binong,Kota Bandung,Jawa Barat,Kelurahan
26352,Braga,32.73.19,32.73.19.1001,32.73,32,2,Sumur Bandung,Braga,Kota Bandung,Jawa Barat,Kelurahan
26354,Burangrang,32.73.13,32.73.13.1003,32.73,32,2,Lengkong,Burangrang,Kota Bandung,Jawa Barat,Kelurahan
26355,Caringin,32.73.15,32.73.15.1004,32.73,32,2,Bandung Kulon,Caringin,Kota Bandung,Jawa Barat,Kelurahan
26356,Ciateul,32.73.11,32.73.11.1006,32.73,32,2,Regol,Ciateul,Kota Bandung,Jawa Barat,Kelurahan
26357,Cibadak,32.73.10,32.73.10.1005,32.73,32,2,Astana Anyar,Cibadak,Kota Bandung,Jawa Barat,Kelurahan
26358,Cibangkong,32.73.12,32.73.12.1003,32.73,32,2,Batununggal,Cibangkong,Kota Bandung,Jawa Barat,Kelurahan
26361,Cibuntu,32.73.15,32.73.15.1002,32.73,32,2,Bandung Kulon,Cibuntu,Kota Bandung,Jawa Barat,Kelurahan
26364,Cigereleng,32.73.11,32.73.11.1001,32.73,32,2,Regol,Cigereleng,Kota Bandung,Jawa Barat,Kelurahan
26365,Cigondewah Kaler,32.73.15,32.73.15.1005,32.73,32,2,Bandung Kulon,Cigondewah Kaler,Kota Bandung,Jawa Barat,Kelurahan
26366,Cigondewah Kidul,32.73.15,32.73.15.1008,32.73,32,2,Bandung Kulon,Cigondewah Kidul,Kota Bandung,Jawa Barat,Kelurahan
26367,Cijagra,32.73.13,32.73.13.1001,32.73,32,2,Lengkong,Cijagra,Kota Bandung,Jawa Barat,Kelurahan
26370,Cikawao,32.73.13,32.73.13.1007,32.73,32,2,Lengkong,Cikawao,Kota Bandung,Jawa Barat,Kelurahan
26375,Cipadung Kidul,32.73.28,32.73.28.1002,32.73,32,2,Panyileukan,Cipadung Kidul,Kota Bandung,Jawa Barat,Kelurahan
26376,Cipadung Kulon,32.73.28,32.73.28.1001,32.73,32,2,Panyileukan,Cipadung Kulon,Kota Bandung,Jawa Barat,Kelurahan
26377,Cipadung Wetan,32.73.28,32.73.28.1003,32.73,32,2,Panyileukan,Cipadung Wetan,Kota Bandung,Jawa Barat,Kelurahan
26380,Cisaranten Endah,32.73.24,32.73.24.1004,32.73,32,2,Arcamanik,Cisaranten Endah,Kota Bandung,Jawa Barat,Kelurahan
26381,Cisaranten Kulon,32.73.24,32.73.24.1003,32.73,32,2,Arcamanik,Cisaranten Kulon,Kota Bandung,Jawa Barat,Kelurahan
26382,Cisaranten Wetan,32.73.29,32.73.29.1001,32.73,32,2,Cinambo,Cisaranten Wetan,Kota Bandung,Jawa Barat,Kelurahan
26387,Gempol Sari,32.73.15,32.73.15.1006,32.73,32,2,Bandung Kulon,Gempol Sari,Kota Bandung,Jawa Barat,Kelurahan
26388,Gumuruh,32.73.12,32.73.12.1001,32.73,32,2,Batununggal,Gumuruh,Kota Bandung,Jawa Barat,Kelurahan
26391,Jamika,32.73.04,32.73.04.1003,32.73,32,2,Bojongloa Kaler,Jamika,Kota Bandung,Jawa Barat,Kelurahan
26392,Jati Sari,32.73.22,32.73.22.1004,32.73,32,2,Buahbatu,Jati Sari,Kota Bandung,Jawa Barat,Kelurahan
26394,Karang Anyar,32.73.10,32.73.10.1003,32.73,32,2,Astana Anyar,Karang Anyar,Kota Bandung,Jawa Barat,Kelurahan
26395,Kebon Gedang,32.73.12,32.73.12.1006,32.73,32,2,Batununggal,Kebon Gedang,Kota Bandung,Jawa Barat,Kelurahan
26396,Kebon Jayanti,32.73.16,32.73.16.1002,32.73,32,2,Kiaracondong,Kebon Jayanti,Kota Bandung,Jawa Barat,Kelurahan
26397,Kebon Jeruk,32.73.05,32.73.05.1004,32.73,32,2,Andir,Kebon Jeruk,Kota Bandung,Jawa Barat,Kelurahan
26398,Kebon Kangkung,32.73.16,32.73.16.1006,32.73,32,2,Kiaracondong,Kebon Kangkung,Kota Bandung,Jawa Barat,Kelurahan
26399,Kebon Pisang,32.73.19,32.73.19.1003,32.73,32,2,Sumur Bandung,Kebon Pisang,Kota Bandung,Jawa Barat,Kelurahan
26402,Kopo,32.73.04,32.73.04.1001,32.73,32,2,Bojongloa Kaler,Kopo,Kota Bandung,Jawa Barat,Kelurahan
26403,Lingkar Selatan,32.73.13,32.73.13.1002,32.73,32,2,Lengkong,Lingkar Selatan,Kota Bandung,Jawa Barat,Kelurahan
26404,Malabar,32.73.13,32.73.13.1006,32.73,32,2,Lengkong,Malabar,Kota Bandung,Jawa Barat,Kelurahan
26405,Maleer,32.73.12,32.73.12.1002,32.73,32,2,Batununggal,Maleer,Kota Bandung,Jawa Barat,Kelurahan
26407,Mekar Mulya,32.73.28,32.73.28.1004,32.73,32,2,Panyileukan,Mekar Mulya,Kota Bandung,Jawa Barat,Kelurahan
26411,Nyengseret,32.73.10,32.73.10.1002,32.73,32,2,Astana Anyar,Nyengseret,Kota Bandung,Jawa Barat,Kelurahan
26414,Paledang,32.73.13,32.73.13.1004,32.73,32,2,Lengkong,Paledang,Kota Bandung,Jawa Barat,Kelurahan
26415,Panjunan,32.73.10,32.73.10.1004,32.73,32,2,Astana Anyar,Panjunan,Kota Bandung,Jawa Barat,Kelurahan
26416,Pelindung Hewan,32.73.10,32.73.10.1006,32.73,32,2,Astana Anyar,Pelindung Hewan,Kota Bandung,Jawa Barat,Kelurahan
26417,Pungkur,32.73.11,32.73.11.1003,32.73,32,2,Regol,Pungkur,Kota Bandung,Jawa Barat,Kelurahan
26419,Samoja,32.73.12,32.73.12.1007,32.73,32,2,Batununggal,Samoja,Kota Bandung,Jawa Barat,Kelurahan
26425,Situsaeur,32.73.17,32.73.17.1001,32.73,32,2,Bojongloa Kidul,Situsaeur,Kota Bandung,Jawa Barat,Kelurahan
26427,Suka Asih,32.73.04,32.73.04.1005,32.73,32,2,Bojongloa Kaler,Suka Asih,Kota Bandung,Jawa Barat,Kelurahan
26428,Sukahaji,32.73.03,32.73.03.1003,32.73,32,2,Babakan Ciparay,Sukahaji,Kota Bandung,Jawa Barat,Kelurahan
26432,Sukamulya,32.73.29,32.73.29.1003,32.73,32,2,Cinambo,Sukamulya,Kota Bandung,Jawa Barat,Kelurahan
26433,Sukapura,32.73.16,32.73.16.1001,32.73,32,2,Kiaracondong,Sukapura,Kota Bandung,Jawa Barat,Kelurahan
26436,Turangga,32.73.13,32.73.13.1005,32.73,32,2,Lengkong,Turangga,Kota Bandung,Jawa Barat,Kelurahan
